Hole_ID,Mo,Nb,Zr,Sr,Rb,Th,Pb,Ars,Ta,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Sc,Ca,K,S,Ba,Cs,Ag,Nb_Zr,V_Zr,Ti_Zr,Sc_Zr,Sr_Zr,Ta_Zr,Ca_Zr,K_Zr,Rb_Zr,Mn_Zr,Cs_Zr,Zn_Zr,Fe_Zr,Ni_Zr,Co_Zr,Cu_Zr,L1_Niton,L2_Niton,Ox_Niton,Au_Total,MagSus,Au,Au_Tails,Solid_L1,Recovery
839387,2,7,180,90,139,10,23,522,57,94,16,65,163,33073,730,84,77,3295,45,1840,11840,349,374,218,5,0,0.43,18,0.25,0.5,0.3,10.2,66,0.77,4.06,1,0.52,184,0.36,0.91,0.09,S4,sp,Ox,0.601,0.57,0.565,0.036,S4,0.936283186
839388,6,2,116,198,78,4,18,1152,55,49,49,57,163,42102,468,178,97,2453,45,1751,13582,950,545,374,5,0,0.84,21,0.39,1.71,0.5,15.1,117,0.67,4.03,3,0.42,363,0.49,1.41,0.42,S4,sp,Ox,0.234,0.23,0.196,0.038,S4,0.806122449
839393,6,2,113,127,78,4,7,904,29,42,33,26,163,32411,427,167,34,2618,45,1747,14453,901,402,366,5,0,0.3,23,0.4,1.12,0.3,15.5,128,0.69,3.78,3,0.37,287,0.23,1.44,0.29,S4,sp,Ox,0.164,0.56,0.131,0.033,S4,0.748091603
839394,8,2,86,131,60,4,7,958,41,49,16,85,163,34038,534,245,72,2348,45,1682,8803,349,312,396,5,0,0.84,27,0.52,1.52,0.5,19.6,102,0.7,6.21,5,0.57,396,0.99,1.9,0.19,S4,sp,Ox,0.198,0.28,0.163,0.035,S4,0.785276074
839404,2,6,193,583,56,12,17,718,41,46,16,26,163,23146,426,17,34,2262,45,8408,10876,349,634,449,5,0,0.18,12,0.23,3.02,0.2,43.6,56,0.29,2.21,2,0.24,120,0.13,0.84,0.08,S3,sp,Ox,0.168,0.02,0.135,0.033,S4,0.755555556
839407,2,8,182,391,77,8,16,407,32,58,16,66,163,41267,619,203,101,3357,45,8406,17902,349,556,557,5,0,0.55,18,0.25,2.15,0.2,46.2,98,0.42,3.4,3,0.32,227,0.36,0.9,0.09,S4,sp,Ox,0.14,0.22,0.118,0.022,S4,0.813559322
839408,2,9,179,310,82,4,16,477,48,49,16,74,163,43138,487,197,147,3694,45,6614,22326,349,576,509,5,0,0.82,21,0.25,1.73,0.3,37,125,0.46,2.72,3,0.27,241,0.41,0.91,0.09,S4,sp,Ox,0.563,0.11,0.473,0.09,S4,0.809725159
839409,2,8,198,412,85,9,16,338,58,57,55,88,163,51965,672,142,138,4368,45,11888,18711,349,556,629,5,0,0.7,22,0.23,2.08,0.3,60,95,0.43,3.39,3,0.29,262,0.44,0.82,0.28,S4,sp,Ox,0.178,0.18,0.153,0.025,S4,0.836601307
839412,2,7,203,393,79,8,15,334,53,55,16,55,163,41338,611,152,101,3668,45,10235,21140,349,697,558,5,0,0.5,18,0.22,1.94,0.3,50.4,104,0.39,3.01,3,0.27,204,0.27,0.8,0.08,S4,sp,Ox,0.243,0.17,0.222,0.021,S4,0.905405405
839414,2,9,228,559,79,10,19,1716,50,63,16,81,163,44052,875,185,152,3798,126,13385,16197,349,711,567,5,0,0.67,17,0.55,2.45,0.2,58.7,71,0.35,3.84,2,0.28,193,0.36,0.71,0.07,S4,sp,Ox,0.255,0.1,0.234,0.021,S4,0.91025641
839415,2,8,254,691,70,18,16,1530,51,68,16,53,163,36171,644,84,104,3611,120,15375,13453,349,889,621,5,0,0.41,14,0.47,2.72,0.2,60.5,53,0.28,2.54,2,0.27,142,0.21,0.64,0.06,S4,sp,Ox,0.232,0.25,0.194,0.038,S4,0.804123711
839418,2,6,191,406,69,12,17,1702,45,43,40,70,163,37746,549,198,152,3608,45,7571,18587,349,916,489,5,0,0.8,19,0.24,2.13,0.2,39.6,97,0.36,2.87,3,0.23,198,0.37,0.85,0.21,S4,sp,Ox,0.275,0.13,0.238,0.037,S4,0.844537815
839426,2,5,241,849,58,10,19,201,56,67,16,26,163,22961,389,248,34,3761,103,15971,12367,1908,895,567,5,0,0.14,16,0.43,3.52,0.2,66.3,51,0.24,1.61,2,0.28,95,0.11,0.68,0.07,S3,fr,Fr,0.233,0.49,0.169,0.064,S4,0.621301775
839427,2,5,211,730,53,11,23,439,51,51,16,26,163,23035,379,318,83,3703,45,13326,13212,1224,806,563,5,0,0.39,18,0.21,3.46,0.2,63.2,63,0.25,1.8,3,0.24,109,0.12,0.77,0.08,S3,fr,Fr,0.313,0.28,0.285,0.028,S4,0.901754386
839428,2,6,189,697,52,10,16,1292,42,67,16,58,163,40811,598,526,101,3345,123,13062,11735,996,531,482,5,0,0.53,18,0.65,3.69,0.2,69.1,62,0.28,3.16,3,0.35,216,0.31,0.86,0.08,S3,fr,Fr,0.201,0.34,0.142,0.059,S4,0.584507042
839429,2,7,242,858,52,9,18,368,50,58,16,26,163,22831,404,340,88,3748,181,15246,12013,349,740,579,5,0,0.36,15,0.75,3.55,0.2,63,50,0.21,1.67,2,0.24,94,0.11,0.67,0.07,S3,fr,Fr,0.218,0.61,0.157,0.061,S4,0.611464968
839431,2,4,140,72,26,9,29,834,9,53,34,71,163,35248,361,154,75,2711,45,2687,7081,349,355,444,5,0,0.54,19,0.32,0.51,0.1,19.2,51,0.19,2.58,3,0.38,252,0.51,1.16,0.24,S4,sp,Ox,1.096,0.27,1.008,0.088,S4,0.912698413
839432,2,7,309,90,186,19,26,420,56,119,16,26,163,35893,570,102,85,5053,45,2231,14933,349,578,287,5,0,0.28,16,0.15,0.29,0.2,7.2,48,0.6,1.84,1,0.39,116,0.08,0.53,0.05,S4,sp,Ox,0.411,0.17,0.39,0.021,S4,0.946153846
839433,2,9,194,54,97,8,24,680,46,54,56,101,163,52423,496,191,133,3914,45,2531,22984,349,586,473,5,0,0.69,20,0.23,0.28,0.2,13.1,118,0.5,2.56,2,0.28,270,0.52,0.84,0.29,S4,sp,Ox,0.364,0.24,0.319,0.045,S4,0.858934169
839434,2,8,180,48,79,4,17,427,54,60,16,97,163,42964,583,203,102,3147,45,2221,22975,349,633,509,5,0,0.57,17,0.25,0.27,0.3,12.3,128,0.44,3.24,3,0.33,239,0.54,0.91,0.09,S4,sp,Ox,0.196,0.34,0.17,0.026,S4,0.847058824
839436,2,8,168,62,83,9,16,516,49,55,16,104,163,52661,723,244,111,3503,45,2413,18227,349,544,452,5,0,0.66,21,0.27,0.37,0.3,14.4,108,0.49,4.3,3,0.33,313,0.62,0.97,0.1,S4,sp,Ox,0.219,0.39,0.191,0.028,S4,0.853403141
839439,2,5,174,82,81,10,20,334,33,59,41,74,163,37829,733,300,102,2776,45,1379,11020,349,460,489,5,0,0.59,16,0.26,0.47,0.2,7.9,63,0.47,4.21,3,0.34,217,0.43,0.94,0.24,S3,sp,Ox,0.548,0.25,0.474,0.074,S4,0.843881857
839461,2,6,171,281,51,4,7,313,39,45,16,80,163,38582,681,234,88,3098,45,10735,14501,349,556,562,5,0,0.51,18,0.26,1.64,0.2,62.8,85,0.3,3.98,3,0.26,226,0.47,0.95,0.09,S4,sr,Tr,0.335,0.24,0.312,0.023,S4,0.926282051
839464,2,5,174,576,57,12,14,164,46,48,16,59,163,31521,538,597,104,3330,103,15496,14075,349,673,599,5,0,0.6,19,0.59,3.31,0.3,89.1,81,0.33,3.09,3,0.28,181,0.34,0.94,0.09,S4,sr,Tr,0.169,0.32,0.129,0.04,S4,0.689922481
839474,2,6,192,253,51,9,7,78,47,45,16,79,163,37864,475,456,143,3311,45,8486,14836,349,494,481,5,0,0.74,17,0.23,1.32,0.2,44.2,77,0.27,2.47,3,0.23,197,0.41,0.85,0.08,S4,sr,Tr,1.006,0.59,0.94,0.066,S4,0.929787234
839480,2,9,324,47,44,9,7,143,44,35,16,57,163,29658,415,379,102,3918,45,1917,9313,349,381,477,5,0,0.31,12,0.14,0.15,0.1,5.9,29,0.14,1.28,1,0.11,92,0.18,0.5,0.05,R,c,R,0.351,1.72,0.329,0.022,R,0.933130699
839481,2,10,202,35,44,10,16,152,67,23,16,72,163,45931,487,178,87,3528,45,1609,7855,349,401,565,5,0,0.43,17,0.22,0.17,0.3,8,39,0.22,2.41,3,0.11,227,0.36,0.81,0.08,S4,sp,Ox,0.282,0.61,0.232,0.05,S4,0.784482759
839484,2,8,205,35,74,4,15,131,50,48,16,82,163,49753,579,441,137,4120,45,2032,16924,349,461,464,5,0,0.67,20,0.22,0.17,0.2,9.9,83,0.36,2.82,2,0.23,243,0.4,0.8,0.08,S4,sp,Ox,0.125,0.52,0.104,0.021,S4,0.798076923
839485,2,7,231,34,83,11,17,165,58,45,38,82,163,49626,755,426,138,4477,45,1650,15401,349,473,478,5,0,0.6,19,0.19,0.15,0.3,7.1,67,0.36,3.27,2,0.19,215,0.35,0.71,0.16,S4,sp,Ox,0.16,0.38,0.136,0.024,S4,0.823529412
839496,2,6,229,154,39,9,7,100,54,32,16,54,163,42353,710,203,83,3289,45,5858,10012,349,452,509,5,0,0.36,14,0.2,0.67,0.2,25.6,44,0.17,3.1,2,0.14,185,0.24,0.71,0.07,S4,sp,Ox,0.234,0.32,0.209,0.025,S4,0.880382775
839497,2,7,218,163,41,9,15,74,44,33,32,77,163,41723,770,245,98,3522,45,6489,10910,349,429,473,5,0,0.45,16,0.21,0.75,0.2,29.8,50,0.19,3.53,2,0.15,191,0.35,0.75,0.15,S4,sp,Ox,0.145,0.31,0.114,0.031,S4,0.728070175
839534,2,6,173,334,64,4,7,129,50,38,34,94,163,42160,807,427,117,3302,108,12474,11653,349,482,577,5,0,0.68,19,0.62,1.93,0.3,72.1,67,0.37,4.66,3,0.22,244,0.54,0.94,0.2,S4,sr,Tr,0.143,0.46,0.112,0.031,S4,0.723214286
839536,2,6,188,273,63,8,7,132,48,51,16,64,163,41172,715,438,107,3094,45,10128,12703,349,521,615,5,0,0.57,16,0.24,1.45,0.3,53.9,68,0.34,3.8,3,0.27,219,0.34,0.87,0.09,S4,sr,Tr,0.176,0.47,0.144,0.032,S4,0.777777778
839537,2,6,167,251,64,9,17,692,50,51,33,94,163,42460,727,212,114,3129,97,8420,15299,349,581,624,5,0,0.68,19,0.58,1.5,0.3,50.4,92,0.38,4.35,4,0.31,254,0.56,0.98,0.2,S4,sr,Tr,0.505,0.47,0.462,0.043,S4,0.906926407
839538,2,8,167,246,56,4,7,379,45,51,40,63,163,42219,675,399,114,2931,94,9147,14476,349,557,645,5,0,0.68,18,0.56,1.47,0.3,54.8,87,0.34,4.04,4,0.31,253,0.38,0.98,0.24,S4,sr,Tr,0.273,0.65,0.228,0.045,S4,0.802631579
839541,2,5,159,252,67,4,15,46,45,46,34,76,163,47119,698,295,134,3121,45,9243,15667,349,557,631,5,0,0.84,20,0.28,1.58,0.3,58.1,99,0.42,4.39,4,0.29,296,0.48,1.03,0.21,S4,fr,Fr,0.123,0.94,0.1,0.023,S4,0.77
1096166,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.513,0.27,0.483,0.03,S4,0.937888199
1096167,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.394,0.22,0.354,0.04,S4,0.88700565
1096168,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.178,0.28,0.156,0.022,S4,0.858974359
1096169,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.412,0.49,0.382,0.03,S4,0.921465969
1096170,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.494,0.26,0.474,0.02,S4,0.957805907
1096171,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.751,0.32,0.711,0.04,S4,0.94374121
1096172,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.696,0.2,0.646,0.05,S4,0.922600619
1096173,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sr,Tr,0.5,0.26,0.46,0.04,S4,0.913043478
1096175,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sr,Tr,0.681,0.34,0.611,0.07,S4,0.885433715
1096176,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sr,Tr,0.463,0.31,0.403,0.06,S4,0.851116625
1096177,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.185,0.18,0.16,0.025,S4,0.84375
1096178,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.131,0.32,0.109,0.022,S4,0.798165138
1096179,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.609,0.36,0.569,0.04,S4,0.92970123
1096180,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.211,0.52,0.201,0.01,S4,0.950248756
1096182,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.67,0.52,0.65,0.02,S4,0.969230769
1096184,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.135,0.11,0.113,0.022,S4,0.805309735
1096185,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.129,0.62,0.107,0.022,S4,0.794392523
1096186,2,0,178,349,59,4,7,521,0,60,61,118,163,38573,562,158,886,2968,45,8121,14855,7985,509,18,5,0,4.98,17,0.25,1.96,0,45.6,83,0.33,3.16,0,0.34,217,0.66,0.92,0.34,S4,sp,Ox,0.495,0.38,0.475,0.02,S4,0.957894737
1138528,2,0,195,255,48,4,7,111,0,33,16,26,163,19566,177,161,82,1926,45,3273,16882,349,707,18,5,0,0.42,10,0.23,1.31,0,16.8,87,0.25,0.91,0,0.17,100,0.13,0.84,0.08,S4,sp,Ox,0.552,0.07,0.502,0.05,S4,0.900398406
1138529,2,0,212,217,46,4,7,197,0,32,36,26,163,26280,359,143,104,2145,45,2360,16356,349,739,18,5,0,0.49,10,0.21,1.02,0,11.1,77,0.22,1.69,0,0.15,124,0.12,0.77,0.17,S4,sp,Ox,0.324,0.12,0.288,0.036,S4,0.875
1138530,2,0,146,159,51,4,7,258,0,36,16,26,163,29656,395,179,87,2331,45,2647,14702,349,705,18,5,0,0.6,16,0.31,1.09,0,18.1,101,0.35,2.71,0,0.25,203,0.18,1.12,0.11,S4,sp,Ox,1.138,0.12,1.091,0.047,S4,0.956920257
1138531,2,0,162,205,31,4,7,175,0,41,16,52,163,27332,386,225,80,1759,45,3831,8133,349,274,18,5,0,0.49,11,0.28,1.27,0,23.7,50,0.19,2.38,0,0.25,169,0.32,1.01,0.1,S4,sp,Ox,0.123,0.1,0.102,0.021,S4,0.794117647
1138551,2,0,113,119,49,4,7,259,0,32,16,54,163,21807,278,106,105,1993,45,1836,12579,349,483,51,5,0,0.93,18,0.4,1.05,0,16.3,111,0.43,2.46,0,0.28,193,0.48,1.44,0.14,S4,sr,Tr,0.146,0.29,0.123,0.023,S4,0.81300813
1138553,2,0,130,262,30,4,7,342,0,30,16,26,163,27129,242,132,90,2144,45,3060,7505,349,387,72,5,0,0.69,16,0.35,2.02,0,23.5,58,0.23,1.86,1,0.23,209,0.2,1.25,0.12,S4,sr,Tr,0.611,0.32,0.564,0.047,S4,0.916666667
1138554,2,0,192,706,52,4,7,1810,0,48,16,58,163,17959,473,89,86,2607,45,8129,13585,349,1006,95,5,0,0.45,14,0.23,3.68,0,42.3,71,0.27,2.46,0,0.25,94,0.3,0.85,0.08,S3,sr,Tr,0.623,0.3,0.598,0.025,S4,0.95819398
1138555,2,0,266,949,51,4,16,143,0,59,16,26,163,16424,279,48,34,2195,45,7366,8460,349,1268,100,5,0,0.13,8,0.17,3.57,0,27.7,32,0.19,1.05,0,0.22,62,0.1,0.61,0.06,S3,sr,Tr,0.265,0.23,0.233,0.032,S4,0.862660944
1138556,2,0,74,465,20,4,7,1757,0,27,16,26,163,12975,210,85,34,1674,45,4457,9716,705,589,61,5,0,0.46,23,0.61,6.28,0,60.2,131,0.27,2.84,1,0.36,175,0.35,2.2,0.22,S3,sr,Tr,1.206,0.01,1.172,0.034,S4,0.970989761
1138557,2,0,75,590,31,4,7,3432,0,44,16,63,163,23971,538,132,82,2244,45,7210,10620,349,582,84,5,0,1.09,30,0.6,7.87,0,96.1,142,0.41,7.17,1,0.59,320,0.84,2.17,0.21,S3,sr,Tr,0.393,0.25,0.39,0.003,S4,0.992307692
1138558,2,0,145,652,15,4,7,2912,0,23,16,26,163,13333,216,78,34,1593,45,5508,5000,349,497,68,5,0,0.23,11,0.31,4.5,0,38,34,0.1,1.49,0,0.16,92,0.18,1.12,0.11,S3,sr,Tr,0.154,0.63,0.108,0.046,S4,0.574074074
1138559,2,0,95,326,33,4,7,1892,0,28,16,26,163,19560,359,111,70,1415,45,4923,10648,1347,421,48,5,0,0.74,15,0.47,3.43,0,51.8,112,0.35,3.78,1,0.29,206,0.27,1.72,0.17,S4,sr,Tr,1.362,0.02,1.257,0.105,S4,0.91646778
1138560,2,0,201,588,37,4,7,918,0,36,16,26,163,14789,329,77,34,2018,45,8430,8692,2538,719,73,5,0,0.17,10,0.22,2.93,0,41.9,43,0.18,1.64,0,0.18,74,0.13,0.81,0.08,S4,sr,Tr,0.175,0.15,0.135,0.04,S4,0.703703704
1138561,2,0,207,361,57,4,7,3153,0,45,16,26,163,42133,490,150,128,2590,45,6856,18200,965,798,91,5,0,0.62,13,0.22,1.74,0,33.1,88,0.28,2.37,0,0.22,204,0.13,0.79,0.08,S4,sr,Tr,1.993,0.02,1.71,0.283,S4,0.834502924
1138562,2,0,97,291,48,4,7,1685,0,53,48,64,163,43648,490,178,106,2730,45,5351,15363,2760,581,82,5,0,1.09,28,0.46,3,0,55.2,158,0.49,5.05,1,0.55,450,0.66,1.68,0.49,S4,sr,Tr,1.215,0.3,1.04,0.175,S4,0.831730769
1138563,2,0,261,848,48,4,20,519,0,43,16,60,163,23665,342,75,34,1897,45,6770,11550,725,1412,98,5,0,0.13,7,0.17,3.25,0,25.9,44,0.18,1.31,0,0.16,91,0.23,0.62,0.06,S4,sr,Tr,0.184,0.23,0.143,0.041,S4,0.713286713
1138568,2,0,124,444,52,4,7,1301,0,39,59,78,163,28680,442,150,115,2493,45,7009,16723,2620,790,68,5,0,0.93,20,0.36,3.58,0,56.5,135,0.42,3.56,1,0.31,231,0.63,1.31,0.48,S4,fr,Fr,0.551,0,0.213,0.338,S4,-0.58685446
1138569,2,0,202,694,65,4,7,436,0,58,40,63,163,38298,744,137,104,2927,45,12608,12394,349,997,95,5,0,0.51,14,0.22,3.44,0,62.4,61,0.32,3.68,0,0.29,190,0.31,0.81,0.2,S4,fr,Fr,1.172,0.02,0.77,0.402,S4,0.477922078
1138571,2,0,232,392,91,4,7,1168,0,35,80,81,163,43263,443,209,150,3581,45,5476,23254,899,1218,112,5,0,0.65,15,0.19,1.69,0,23.6,100,0.39,1.91,0,0.15,186,0.35,0.7,0.34,S4,fr,Fr,0.772,0.27,0.667,0.105,S4,0.842578711
1138572,2,0,191,492,52,4,7,227,0,51,16,73,163,23966,501,81,91,2225,45,7502,10541,349,1143,66,5,0,0.48,12,0.24,2.58,0,39.3,55,0.27,2.62,0,0.27,125,0.38,0.85,0.08,S4,fr,Fr,0.199,0.23,0.153,0.046,S4,0.699346405
1138573,2,0,225,674,59,4,18,248,0,38,49,65,163,28693,415,94,78,2398,45,10443,12808,5315,1094,114,5,0,0.35,11,0.2,3,0,46.4,57,0.26,1.84,1,0.17,128,0.29,0.72,0.22,S4,fr,Fr,0.438,0.09,0.352,0.086,S4,0.755681818
1138575,5,0,504,108,61,10,18,401,0,37,16,26,163,27616,341,176,152,5165,45,3662,7974,349,556,18,5,0,0.3,10,0.09,0.21,0,7.3,16,0.12,0.68,0,0.07,55,0.05,0.32,0.03,R,a,R,0.248,0.05,0.245,0.003,R,0.987755102
1138576,7,0,307,67,34,4,7,757,0,19,16,26,163,32678,629,153,135,3095,45,2321,6546,349,536,37,5,0,0.44,10,0.15,0.22,0,7.6,21,0.11,2.05,0,0.06,106,0.08,0.53,0.05,R,c,R,1.005,0.4,1.002,0.003,R,0.997005988
1138577,2,0,211,93,128,4,7,250,0,49,16,26,163,41103,466,217,157,3342,45,2049,19745,349,835,18,5,0,0.74,16,0.21,0.44,0,9.7,94,0.61,2.21,0,0.23,195,0.12,0.77,0.08,S4,sp,Ox,0.21,0.08,0.183,0.027,S4,0.852459016
1138578,2,0,204,103,65,4,7,296,0,52,41,26,163,46615,613,230,166,3142,45,2583,16486,349,663,18,5,0,0.81,15,0.22,0.5,0,12.7,81,0.32,3,0,0.25,229,0.13,0.8,0.2,S4,sp,Ox,0.244,0.21,0.222,0.022,S4,0.900900901
1138579,2,0,203,85,64,4,7,454,0,44,46,26,163,50070,569,248,182,2938,45,2141,18808,349,808,18,5,0,0.9,14,0.22,0.42,0,10.6,93,0.32,2.8,0,0.22,247,0.13,0.8,0.23,S3,sp,Ox,0.285,0.01,0.233,0.052,S4,0.776824034
1138580,2,0,195,132,62,4,14,365,0,48,16,26,163,47027,606,234,173,3117,45,3094,16916,349,672,18,5,0,0.89,16,0.23,0.68,0,15.9,87,0.32,3.11,0,0.25,241,0.13,0.84,0.08,S3,sp,Ox,1.004,0.06,0.921,0.083,S4,0.909880565
1138581,2,0,197,123,69,4,7,563,0,50,35,26,163,49697,683,234,173,3344,45,2847,18287,349,711,18,5,0,0.88,17,0.23,0.62,0,14.5,93,0.35,3.47,0,0.25,252,0.13,0.83,0.18,S3,sp,Ox,1.738,0.21,1.655,0.083,S4,0.949848943
1138582,2,0,201,110,69,4,7,493,0,44,54,26,163,50689,529,260,166,3357,45,2553,20604,349,828,18,5,0,0.83,17,0.22,0.55,0,12.7,103,0.34,2.63,0,0.22,252,0.13,0.81,0.27,S4,sp,Ox,2.542,0.08,2.539,0.003,S4,0.998818432
1138583,2,0,196,178,64,4,14,187,0,45,16,60,163,42568,393,210,151,3001,45,6125,15345,349,694,18,5,0,0.77,15,0.23,0.91,0,31.3,78,0.33,2.01,0,0.23,217,0.31,0.83,0.08,S4,sp,Ox,0.624,0.17,0.621,0.003,S4,0.995169082
1138584,2,0,199,159,65,4,7,348,0,39,16,26,163,47631,719,209,179,3234,45,5089,16570,349,716,18,5,0,0.9,16,0.23,0.8,0,25.6,83,0.33,3.61,0,0.2,239,0.13,0.82,0.08,S4,sp,Ox,0.504,0.11,0.489,0.015,S4,0.969325153
1138586,7,0,190,201,61,4,7,294,0,49,36,26,163,43277,464,194,154,3086,45,5212,16630,349,751,18,5,0,0.81,16,0.24,1.06,0,27.4,88,0.32,2.44,0,0.26,228,0.14,0.86,0.19,S4,sp,Ox,0.375,0,0.361,0.014,S4,0.961218837
1138587,4,0,189,206,66,4,7,365,0,46,49,26,163,46794,602,180,161,2815,45,5895,17043,349,956,18,5,0,0.85,15,0.24,1.09,0,31.2,90,0.35,3.19,0,0.24,248,0.14,0.86,0.26,S4,sp,Ox,0.507,0.04,0.477,0.03,S4,0.937106918
1138588,2,0,195,225,65,4,7,555,0,47,45,26,163,44139,492,201,151,2642,45,6592,15410,349,772,18,5,0,0.77,14,0.23,1.15,0,33.8,79,0.33,2.52,0,0.24,226,0.13,0.84,0.23,S4,sp,Ox,1.369,0.16,1.31,0.059,S4,0.954961832
1138589,2,0,223,290,75,4,20,332,0,65,43,26,163,39396,742,122,137,2738,133,11304,12564,349,679,18,5,0,0.61,12,0.6,1.3,0,50.7,56,0.34,3.33,0,0.29,177,0.12,0.73,0.19,S3,sp,Ox,0.183,0.11,0.149,0.034,S4,0.771812081
1138590,2,0,207,323,67,4,15,500,0,45,16,26,163,44746,560,183,140,3456,105,11803,11050,349,520,18,5,0,0.68,17,0.51,1.56,0,57,53,0.32,2.71,0,0.22,216,0.13,0.79,0.08,S4,sp,Ox,1.428,0.08,1.341,0.087,S4,0.935123043
1138591,2,0,231,403,81,4,7,190,0,47,16,26,163,37123,570,87,118,3417,157,14681,10825,349,576,18,5,0,0.51,15,0.68,1.74,0,63.6,47,0.35,2.47,0,0.2,161,0.11,0.71,0.07,S4,sp,Ox,0.305,0.14,0.266,0.039,S4,0.853383459
1138592,2,0,176,159,68,4,16,665,0,57,43,26,163,49218,683,225,168,2933,45,6023,18447,349,891,18,5,0,0.95,17,0.26,0.9,0,34.2,105,0.39,3.88,0,0.32,280,0.15,0.93,0.24,S4,sp,Ox,1.499,0.2,1.432,0.067,S4,0.953212291
1138593,2,0,179,223,50,4,16,373,0,41,16,66,163,47236,764,269,147,2531,106,9952,10347,349,417,18,5,0,0.82,14,0.59,1.25,0,55.6,58,0.28,4.27,0,0.23,264,0.37,0.91,0.09,S3,sp,Ox,0.778,0.12,0.727,0.051,S4,0.929848693
1138594,5,0,188,132,64,4,7,438,0,39,16,26,163,45385,697,205,163,2674,45,5241,16432,349,833,18,5,0,0.87,14,0.24,0.7,0,27.9,87,0.34,3.71,0,0.21,241,0.14,0.87,0.09,S4,sp,Ox,0.17,0.04,0.146,0.024,S4,0.835616438
