Hole_ID,Fe_Zr,Ni_Zr,Co_Zr,Cu_Zr,L1_Niton,L2_Niton,Ox_Niton,Au_Total,MagSus,Au,Au_Tails,Solid_L1,Recovery
836696,250,0.53,0.78,0.08,S4,sp,Ox,0.433,0.28,0.406,0.027,S4,0.933497537
836697,215,0.37,0.95,0.43,S3,sp,Ox,0.241,0.35,0.194,0.047,S4,0.757731959
836698,181,0.49,0.76,0.07,S3,sp,Ox,0.337,0.3,0.318,0.019,S4,0.940251572
836708,175,0.68,1.23,0.3,I2,sp,Ox,0.932,0.4,0.89,0.042,I2,0.952808989
836709,161,0.18,1.12,0.11,I2,sp,Ox,0.125,0.28,0.101,0.024,I2,0.762376238
836711,190,0.58,1.43,0.93,I2,sp,Ox,0.775,0.75,0.732,0.043,I2,0.941256831
836725,330,0.88,1.37,0.29,S3,sr,Tr,0.588,0.6,0.559,0.029,S4,0.948121646
836743,70,0.18,0.45,0.04,I2,sp,Ox,0.146,0.2,0.124,0.022,I2,0.822580645
836762,187,0.64,1.28,0.13,I2,sr,Tr,0.226,1.18,0.21,0.016,I2,0.923809524
836765,185,0.68,1.36,0.13,I2,sr,Tr,0.293,1.12,0.268,0.025,I2,0.906716418
836776,171,0.48,1.09,0.11,I2,sr,Tr,0.346,0.21,0.315,0.031,I2,0.901587302
836777,190,0.45,1.3,0.13,I2,sr,Tr,0.135,0.22,0.113,0.022,I2,0.805309735
836785,195,0.52,1.3,0.13,I2,sr,Tr,0.199,0.3,0.168,0.031,I2,0.81547619
836787,147,0.33,0.9,0.09,S4,fr,Fr,0.261,0.32,0.226,0.035,S4,0.845132743
836799,115,0.11,0.71,0.07,S3,fr,Fr,4.659,0.88,4.13,0.529,S4,0.871912833
836801,104,0.12,0.76,0.07,S3,fr,Fr,4.867,0.71,4.288,0.579,S4,0.864972015
836848,176,0.49,1.22,0.12,I2,fr,Fr,0.227,0.44,0.212,0.015,I2,0.929245283
838822,401,0.72,1.41,0.49,I2,sr,Tr,0.322,0.21,0.308,0.014,I2,0.954545455
838823,501,1.07,3.02,0.3,I2,sr,Tr,0.753,0.55,0.667,0.086,I2,0.871064468
838824,288,0.34,2.14,0.21,I2,sr,Tr,0.352,0.41,0.335,0.017,I2,0.949253731
838825,210,0.61,1.38,0.14,I2,sr,Tr,2.038,0.17,1.999,0.039,I2,0.980490245
838826,263,0.67,1.52,0.15,I2,sr,Tr,0.314,0.23,0.298,0.016,I2,0.946308725
838828,197,0.63,1.25,0.12,I2,sr,Tr,0.137,0.11,0.115,0.022,I2,0.808695652
838830,207,0.65,1.34,0.13,I2,sr,Tr,0.237,0.08,0.225,0.012,I2,0.946666667
838834,181,0.46,1.26,0.12,I2,sr,Tr,0.125,0.01,0.104,0.021,I2,0.798076923
838835,187,0.48,1.23,0.12,I2,sr,Tr,0.185,0.06,0.156,0.029,I2,0.814102564
838836,170,0.49,1.07,0.11,I2,sr,Tr,0.174,0.21,0.147,0.027,I2,0.816326531
838848,183,0.52,1.17,0.12,I2,fr,Fr,0.681,0.36,0.612,0.069,I2,0.887254902
838849,206,0.23,1.42,0.14,I2,fr,Fr,0.235,0.52,0.184,0.051,I2,0.722826087
838850,612,0.89,1.66,0.16,S4,fr,Fr,0.224,0.73,0.162,0.062,S4,0.617283951
838863,267,0.37,0.98,0.26,S4,fr,Fr,0.375,0.42,0.316,0.059,S4,0.813291139
838866,110,0.16,0.42,0.04,R,a,R,0.399,0.26,0.367,0.032,R,0.91280654
838871,182,0.61,1.21,0.12,I2,sp,Ox,0.13,0.3,0.109,0.021,I2,0.80733945
838892,202,0.74,1.28,0.13,I2,fr,Fr,0.344,0.36,0.302,0.042,I2,0.860927152
838903,189,0.54,1.2,0.12,I2,fr,Fr,0.146,0.55,0.107,0.039,I2,0.635514019
838905,186,0.56,1.15,0.11,I2,fr,Fr,0.141,0.44,0.102,0.039,I2,0.617647059
838906,194,0.42,1.3,0.13,I2,fr,Fr,0.229,0.15,0.202,0.027,I2,0.866336634
838916,212,0.74,1.3,0.13,I2,fr,Fr,0.239,0.14,0.187,0.052,I2,0.721925134
838918,221,0.67,1.29,0.13,I2,fr,Fr,0.17,0.36,0.127,0.043,I2,0.661417323
838920,237,0.83,1.43,0.14,I2,fr,Fr,0.176,0.77,0.133,0.043,I2,0.676691729
838938,188,0.45,1.18,0.12,I2,sp,Ox,0.124,0.1,0.104,0.02,I2,0.807692308
838939,188,0.52,1.23,0.12,I2,sp,Ox,0.362,0.14,0.344,0.018,I2,0.947674419
838940,173,0.19,1.2,0.12,I2,sp,Ox,0.154,0.09,0.131,0.023,I2,0.824427481
838941,186,0.52,1.16,0.11,I2,sp,Ox,0.213,0.08,0.184,0.029,I2,0.842391304
838949,156,0.19,1.21,0.12,I2,sp,Ox,0.194,0.05,0.164,0.03,I2,0.817073171
838950,187,0.21,1.29,0.13,I2,sr,Tr,0.204,0.12,0.157,0.047,I2,0.700636943
838976,189,0.44,0.99,0.1,I2,sp,Ox,1.789,0.61,1.673,0.116,I2,0.930663479
838977,202,0.37,0.72,0.19,S3,sp,Ox,0.528,0.47,0.48,0.048,I2,0.9
838979,77,0.09,0.58,0.06,S3,sp,Ox,0.143,0.1,0.112,0.031,I2,0.723214286
838980,113,0.11,0.71,0.07,S3,sp,Ox,0.159,0.22,0.127,0.032,I2,0.748031496
838984,222,0.46,0.98,0.1,S4,sp,Ox,0.164,0.29,0.14,0.024,S4,0.828571429
838985,222,0.35,0.87,0.09,S4,sp,Ox,0.669,0.26,0.635,0.034,S4,0.946456693
838986,290,0.48,0.89,0.22,S4,sp,Ox,0.457,0.36,0.408,0.049,S4,0.879901961
838988,256,0.43,0.95,0.44,S4,sp,Ox,0.859,0.21,0.799,0.06,S4,0.924906133
838990,255,0.51,0.85,0.22,S4,sp,Ox,0.126,0.25,0.105,0.021,S4,0.8
838992,204,0.42,0.84,0.08,S4,sp,Ox,1.132,0.21,1.05,0.082,S4,0.921904762
838993,203,0.34,0.83,0.08,S4,sp,Ox,0.134,0.23,0.112,0.022,S4,0.803571429
838994,231,0.86,0.84,0.08,S3,sp,Ox,0.139,0.3,0.108,0.031,S4,0.712962963
839000,275,0.99,0.91,0.2,S3,sr,Tr,0.152,0.43,0.113,0.039,S4,0.654867257
839001,337,1.71,1.73,0.17,S3,sr,Tr,0.246,0.25,0.223,0.023,S4,0.896860987
839002,240,1.12,0.99,0.1,S3,sr,Tr,0.683,0.86,0.646,0.037,S4,0.942724458
839003,247,0.8,0.91,0.21,S3,sr,Tr,2.986,0.32,2.763,0.223,S4,0.919290626
839004,249,0.84,0.83,0.08,S3,sr,Tr,9.217,0.46,8.794,0.423,S4,0.951899022
839005,205,0.73,0.85,0.08,S3,sr,Tr,1.396,0.27,1.326,0.07,S4,0.947209653
839006,218,0.48,0.92,0.19,S4,sr,Tr,1.005,0.25,0.927,0.078,S4,0.915857605
839007,230,0.58,0.91,0.31,S4,sr,Tr,1.627,0.53,1.529,0.098,S4,0.935905821
839009,222,0.72,0.89,0.09,S3,sr,Tr,0.696,0.29,0.64,0.056,S4,0.9125
839010,219,0.43,0.89,0.38,S4,sr,Tr,0.915,0.47,0.853,0.062,S4,0.927315358
839011,186,0.67,0.72,0.07,S4,sr,Tr,0.933,0.36,0.814,0.119,S4,0.853808354
839012,274,0.69,0.91,0.09,S4,sr,Tr,0.203,0.39,0.162,0.041,S4,0.74691358
839014,275,0.54,1.03,0.22,S3,sr,Tr,1.337,0.39,1.252,0.085,S4,0.932108626
839016,258,0.57,1.09,0.11,S4,sr,Tr,1.347,0.5,1.252,0.095,S4,0.924121406
839017,239,0.44,0.98,0.26,S4,sr,Tr,0.343,0.35,0.317,0.026,S4,0.917981073
839018,210,0.45,0.92,0.18,S4,fr,Fr,0.193,0.49,0.148,0.045,S4,0.695945946
839019,227,0.58,0.94,0.09,S4,fr,Fr,0.232,0.63,0.216,0.016,S4,0.925925926
839020,233,0.46,0.95,0.09,S4,fr,Fr,0.555,0.42,0.508,0.047,S4,0.907480315
839021,235,0.39,1.01,0.1,S4,fr,Fr,1.175,1.11,1.075,0.1,S4,0.906976744
839022,253,0.6,0.96,0.26,S4,fr,Fr,0.226,0.44,0.176,0.05,S4,0.715909091
839024,242,0.52,0.95,0.19,S4,fr,Fr,1.153,0.45,1.047,0.106,S4,0.898758357
839025,289,0.56,1,0.24,S4,fr,Fr,0.521,0.43,0.419,0.102,S4,0.756563246
839026,224,0.56,0.95,0.09,S4,fr,Fr,0.637,1.17,0.566,0.071,S4,0.874558304
839027,261,0.59,0.97,0.1,S4,fr,Fr,0.818,0.56,0.726,0.092,S4,0.873278237
839028,256,0.44,0.92,0.09,S4,fr,Fr,1,0.82,0.886,0.114,S4,0.871331828
839029,231,0.4,0.95,0.19,S4,fr,Fr,1.104,0.48,1,0.104,S4,0.896
839030,229,0.51,0.8,0.08,S4,sp,Ox,0.4,0.42,0.378,0.022,S4,0.941798942
839031,237,0.44,0.85,0.08,S4,sp,Ox,0.152,0.15,0.129,0.023,S4,0.821705426
839032,222,0.46,0.83,0.08,S3,sp,Ox,0.278,0.33,0.236,0.042,S4,0.822033898
839033,198,0.44,1.02,0.1,S3,sp,Ox,0.254,0.14,0.247,0.007,S4,0.971659919
839034,175,0.48,1.01,0.1,I2,sp,Ox,0.229,0.15,0.198,0.031,I2,0.843434343
839039,200,0.47,1.23,0.12,I2,sp,Ox,0.145,0.21,0.123,0.022,I2,0.821138211
839043,243,1,1.39,0.14,I2,sp,Ox,0.144,0.14,0.122,0.022,I2,0.819672131
839046,169,0.42,1.29,0.13,I2,sp,Ox,0.224,0.14,0.213,0.011,I2,0.948356808
839047,236,0.6,1.38,0.14,I2,sp,Ox,0.48,0.28,0.455,0.025,I2,0.945054945
839057,182,0.49,1.22,0.12,I2,sp,Ox,0.131,0.09,0.11,0.021,I2,0.809090909
839059,187,0.69,1.22,0.12,I2,sr,Tr,0.14,0.06,0.118,0.022,I2,0.813559322
839063,190,0.45,0.73,0.22,I2,sr,Tr,0.212,0.13,0.209,0.003,S4,0.985645933
839064,298,1.03,2.17,0.21,S3,sr,Tr,0.259,0.22,0.221,0.038,S4,0.828054299
839066,188,0.36,0.92,0.27,S4,sr,Tr,0.169,0.34,0.129,0.04,S4,0.689922481
839070,203,0.35,0.95,0.09,S4,sr,Tr,1.715,0.18,1.544,0.171,S4,0.889248705
839074,241,0.27,1.66,0.38,S4,sr,Tr,0.261,0.17,0.225,0.036,S4,0.84
839075,373,0.68,0.81,0.22,S4,sr,Tr,0.194,0.38,0.153,0.041,S4,0.732026144
839076,312,0.72,1.16,0.28,S4,sr,Tr,0.235,0.39,0.192,0.043,S4,0.776041667
839077,126,0.23,0.56,0.06,S4,sr,Tr,2.25,0.42,1.847,0.403,S4,0.781808338
839078,278,0.6,0.95,0.32,S4,fr,Fr,3.085,0.65,2.608,0.477,S4,0.817101227
839079,223,0.48,0.88,0.09,S4,fr,Fr,6.659,0.52,5.864,0.795,S4,0.864427012
839080,277,0.34,0.99,0.2,S4,fr,Fr,2.007,0.25,1.752,0.255,S4,0.854452055
839082,234,0.32,0.96,0.09,S4,fr,Fr,1.2,0.34,1.03,0.17,S4,0.834951456
839083,221,0.38,0.9,0.09,S4,fr,Fr,0.797,0.4,0.794,0.003,S4,0.996221662
839084,86,0.08,0.52,0.05,S3,sp,Ox,0.203,0.23,0.167,0.036,S4,0.784431138
839085,77,0.16,0.5,0.05,S3,sp,Ox,0.157,0.19,0.125,0.032,S4,0.744
839086,285,0.63,1.31,0.13,S3,sp,Ox,1.391,0.23,1.233,0.158,S4,0.871857259
839087,287,0.55,1.02,0.23,S3,sp,Ox,3.596,0.31,3.318,0.278,S4,0.916214587
839088,164,0.48,0.9,0.09,S3,sp,Ox,0.598,0.21,0.539,0.059,S4,0.890538033
839089,103,0.32,0.75,0.07,S3,sp,Ox,0.284,0.28,0.252,0.032,S4,0.873015873
839090,78,0.12,0.77,0.08,S3,sp,Ox,0.437,0.13,0.401,0.036,S4,0.910224439
839091,115,0.23,0.71,0.07,S3,sp,Ox,1.003,0.15,0.943,0.06,S4,0.936373277
839092,238,0.42,0.92,0.18,S3,sp,Ox,2.259,0.29,2.064,0.195,S4,0.905523256
839093,110,0.24,0.7,0.07,S3,sp,Ox,0.328,0.33,0.3,0.028,S4,0.906666667
839094,77,0.11,0.72,0.07,S3,sp,Ox,0.572,0.18,0.543,0.029,S4,0.946593002
839095,111,0.13,0.84,0.08,S3,sp,Ox,0.502,0.18,0.467,0.035,S4,0.925053533
839096,77,0.13,0.84,0.08,S3,sp,Ox,0.219,0.22,0.191,0.028,S4,0.853403141
839097,82,0.3,0.84,0.08,S3,sp,Ox,0.371,0.15,0.343,0.028,S4,0.918367347
839099,197,0.43,0.67,0.25,S4,sp,Ox,3.152,0.25,2.994,0.158,S4,0.947227789
839100,229,0.44,0.72,0.18,S4,sp,Ox,0.124,0.32,0.103,0.021,S4,0.796116505
839101,217,0.43,0.81,0.08,S4,sp,Ox,0.995,0.32,0.945,0.05,S4,0.947089947
839102,109,0.41,0.71,0.07,S3,sp,Ox,0.263,0.52,0.242,0.021,S4,0.91322314
839103,88,0.13,0.8,0.08,S3,sp,Ox,0.234,0.47,0.215,0.019,S4,0.911627907
839104,113,0.15,0.94,0.09,S4,sp,Ox,0.677,0.37,0.63,0.047,S4,0.925396825
839106,135,0.33,0.8,0.2,S4,sp,Ox,1.65,0.36,1.517,0.133,S4,0.912326961
839107,76,0.12,0.75,0.07,S4,sp,Ox,0.249,0.3,0.225,0.024,S4,0.893333333
839108,91,0.13,0.84,0.08,S4,sp,Ox,0.375,0.52,0.339,0.036,S4,0.89380531
839109,127,0.34,0.68,0.07,S4,sp,Ox,0.625,0.28,0.57,0.055,S4,0.903508772
839110,171,0.36,0.54,0.05,S4,sp,Ox,0.802,0.21,0.758,0.044,S4,0.941952507
839111,153,0.34,0.83,0.09,S4,sp,Ox,0.648,0.42,0.625,0.023,S4,0.9632
839112,176,0.47,0.57,0.06,S4,sp,Ox,0.136,0.69,0.106,0.03,S4,0.716981132
839113,183,0.41,0.56,0.14,S4,sp,Ox,0.523,1.11,0.488,0.035,S4,0.928278689
839114,237,0.33,0.89,0.09,S4,sp,Ox,1.213,0.48,1.055,0.158,S4,0.850236967
839116,226,0.46,0.94,0.09,S4,sp,Ox,0.215,0.35,0.188,0.027,S4,0.856382979
839119,191,0.28,0.89,0.09,S4,sr,Tr,0.148,0.42,0.125,0.023,S4,0.816
839120,291,0.57,1.02,0.26,S4,sr,Tr,7.525,0.33,7.303,0.222,S4,0.969601534
839121,228,0.36,1.09,0.11,S4,sr,Tr,0.163,0.56,0.139,0.024,S4,0.827338129
839123,247,0.55,0.92,0.37,S4,sr,Tr,0.211,0.49,0.184,0.027,S4,0.85326087
839125,165,0.53,1.03,0.11,S4,sr,Tr,0.244,0.41,0.23,0.014,S4,0.939130435
839126,244,0.36,0.97,0.1,S4,sr,Tr,1.129,0.47,1.059,0.07,S4,0.933899906
839127,209,0.32,0.77,0.23,S4,sr,Tr,2.078,0.38,1.989,0.089,S4,0.955253896
839128,211,0.29,0.89,0.09,S4,sr,Tr,0.716,1.3,0.683,0.033,S4,0.951683748
839129,237,0.17,1.09,0.25,S4,sr,Tr,0.609,0.54,0.581,0.028,S4,0.951807229
839130,209,0.17,1.08,0.25,S4,sr,Tr,0.359,0.91,0.322,0.037,S4,0.885093168
839131,211,0.64,1.15,0.26,S4,sr,Tr,1.035,1.66,1.017,0.018,S4,0.982300885
839132,155,0.12,0.77,0.16,S4,sr,Tr,0.418,0.43,0.397,0.021,S4,0.947103275
839133,244,0.46,0.86,0.22,S4,sr,Tr,1.959,0.63,1.772,0.187,S4,0.894469526
839134,99,0.22,0.63,0.06,S3,fr,Fr,0.172,0.13,0.118,0.054,S4,0.542372881
839136,185,0.33,0.73,0.21,S3,fr,Fr,0.251,0.36,0.2,0.051,S4,0.745
839137,173,0.12,0.78,0.18,S3,fr,Fr,0.788,0.56,0.48,0.308,S4,0.358333333
839138,177,0.26,0.76,0.07,S4,fr,Fr,0.613,0.35,0.511,0.102,S4,0.800391389
839139,111,0.19,0.49,0.05,S3,sp,Ox,0.17,0.42,0.137,0.033,S4,0.759124088
839140,195,0.15,0.91,0.09,S3,sp,Ox,0.763,0.29,0.699,0.064,S4,0.908440629
839141,119,0.22,0.57,0.06,S3,sp,Ox,0.139,0.5,0.108,0.031,S4,0.712962963
839142,264,0.22,0.67,0.22,S4,sp,Ox,0.134,0.51,0.112,0.022,S4,0.803571429
839143,302,0.51,1.03,0.24,S4,sp,Ox,0.178,0.5,0.153,0.025,S4,0.836601307
839144,285,0.47,0.87,0.09,S4,sp,Ox,0.159,0.38,0.135,0.024,S4,0.822222222
839153,240,0.48,0.93,0.09,S4,sp,Ox,0.145,0.37,0.122,0.023,S4,0.81147541
839154,292,0.42,0.93,0.36,S4,sp,Ox,0.139,0.33,0.117,0.022,S4,0.811965812
839155,283,0.42,0.99,0.24,S4,sp,Ox,0.277,0.35,0.256,0.021,S4,0.91796875
839161,216,0.4,0.88,0.09,S4,sp,Ox,0.348,0.39,0.328,0.02,S4,0.93902439
839163,213,0.44,0.88,0.19,S4,sp,Ox,0.288,0.27,0.262,0.026,S4,0.900763359
839167,231,0.3,0.92,0.09,S4,sp,Ox,0.223,0.26,0.195,0.028,S4,0.856410256
839168,235,0.39,1.07,0.22,S4,sp,Ox,0.428,0.27,0.386,0.042,S4,0.89119171
839169,231,0.15,0.92,0.09,S4,sp,Ox,0.354,0.34,0.317,0.037,S4,0.883280757
839170,219,0.39,0.82,0.18,S4,sp,Ox,0.248,0.26,0.216,0.032,S4,0.851851852
839171,322,0.66,0.93,0.19,S4,sp,Ox,0.283,1.69,0.242,0.041,S4,0.830578512
839173,178,0.37,0.84,0.08,S4,sp,Ox,0.169,0.27,0.145,0.024,S4,0.834482759
839174,146,0.4,0.8,0.08,S4,sr,Tr,0.597,0.19,0.55,0.047,S4,0.914545455
839175,122,0.41,0.76,0.07,S4,sr,Tr,1.308,0.22,1.241,0.067,S4,0.946011281
839176,148,0.29,0.75,0.07,S4,sr,Tr,0.65,0.22,0.598,0.052,S4,0.913043478
839177,177,0.36,0.73,0.18,S4,sr,Tr,0.163,0.23,0.139,0.024,S4,0.827338129
839178,302,0.78,0.95,0.25,S4,sr,Tr,0.137,0.28,0.115,0.022,S4,0.808695652
839179,205,0.37,0.81,0.08,S4,sr,Tr,0.418,0.46,0.365,0.053,S4,0.854794521
839180,217,0.3,0.84,0.19,S3,sr,Tr,0.812,0.32,0.761,0.051,S4,0.932982917
839181,228,0.48,1.02,0.1,S3,sr,Tr,0.514,0.37,0.477,0.037,S4,0.922431866
839187,152,0.31,0.85,0.08,S4,sr,Tr,0.25,0.31,0.221,0.029,S4,0.868778281
839190,242,0.47,0.92,0.19,S4,sr,Tr,0.295,0.39,0.255,0.04,S4,0.843137255
839192,241,0.25,1.6,0.16,I2,sr,Tr,0.3,0.55,0.258,0.042,I2,0.837209302
839193,160,0.32,0.85,0.08,S3,sr,Tr,0.162,0.21,0.115,0.047,S4,0.591304348
839196,197,0.31,0.88,0.09,S3,fr,Fr,0.162,0.27,0.136,0.026,S4,0.808823529
839199,98,0.21,0.61,0.06,S3,fr,Fr,0.207,0.33,0.147,0.06,S4,0.591836735
839200,131,0.33,0.81,0.08,S3,fr,Fr,0.39,0.37,0.345,0.045,S4,0.869565217
839202,129,0.41,0.9,0.09,S3,fr,Fr,0.21,0.41,0.15,0.06,S4,0.6
839203,198,0.4,1.09,0.11,R,c,R,0.125,1.16,0.108,0.017,R,0.842592593
839204,180,0.34,0.63,0.06,S3,sp,Ox,0.487,0.4,0.447,0.04,S4,0.910514541
839210,210,0.47,0.59,0.06,S3,sp,Ox,0.213,0.36,0.176,0.037,S4,0.789772727
839213,149,0.3,0.5,0.05,S3,sp,Ox,0.14,0.45,0.109,0.031,S4,0.71559633
839214,174,0.38,0.91,0.09,S3,sp,Ox,0.136,0.88,0.106,0.03,S4,0.716981132
839218,326,0.6,0.97,0.1,S3,sp,Ox,0.414,0.5,0.378,0.036,S4,0.904761905
839231,252,0.15,0.94,0.25,S4,sp,Ox,0.5,0.38,0.464,0.036,S4,0.922413793
839232,248,0.43,0.94,0.09,S4,sp,Ox,0.472,0.62,0.437,0.035,S4,0.919908467
839233,296,0.4,0.98,0.26,S4,sp,Ox,0.269,0.39,0.237,0.032,S4,0.864978903
839244,220,0.32,0.96,0.09,S4,sr,Tr,0.537,0.4,0.466,0.071,S4,0.847639485
839246,161,0.32,0.99,0.1,S3,sr,Tr,0.345,0.41,0.301,0.044,S4,0.853820598
839247,666,0.45,2.81,0.28,S3,sr,Tr,0.315,0.54,0.264,0.051,S4,0.806818182
839248,89,0.12,0.77,0.08,S3,sr,Tr,1.209,1.43,1.144,0.065,S4,0.943181818
839251,186,0.42,0.89,0.09,S4,sr,Tr,0.512,0.51,0.442,0.07,S4,0.841628959
839254,251,0.41,1.1,0.28,S4,sr,Tr,0.748,0.95,0.641,0.107,S4,0.833073323
839255,180,0.12,0.74,0.07,S3,sr,Tr,1.483,1.2,1.372,0.111,S4,0.91909621
839257,105,0.21,0.61,0.06,R,c,R,0.365,0.59,0.337,0.028,R,0.916913947
839258,148,0.17,1.09,0.11,R,c,R,0.129,0.79,0.111,0.018,R,0.837837838
839260,138,0.23,0.63,0.06,R,c,R,0.292,0.64,0.273,0.019,R,0.93040293
839261,173,0.12,0.74,0.07,S4,sp,Ox,0.218,0.26,0.19,0.028,S4,0.852631579
839273,146,0.41,0.95,0.09,S4,sp,Ox,0.132,0.16,0.102,0.03,S4,0.705882353
839280,274,0.56,0.94,0.25,S4,sp,Ox,0.246,0.44,0.22,0.026,S4,0.881818182
839281,154,0.3,0.73,0.07,S4,sp,Ox,0.16,0.48,0.128,0.032,S4,0.75
839283,145,0.29,0.78,0.08,S4,sp,Ox,0.158,0.39,0.126,0.032,S4,0.746031746
839284,228,0.48,0.86,0.08,S4,sp,Ox,0.568,0.64,0.527,0.041,S4,0.922201139
839285,240,0.39,0.93,0.09,S4,sp,Ox,0.27,0.35,0.245,0.025,S4,0.897959184
839286,192,0.14,0.9,0.23,S4,sp,Ox,0.276,0.5,0.253,0.023,S4,0.909090909
839287,290,0.39,0.94,0.21,S4,sp,Ox,0.297,0.37,0.249,0.048,S4,0.807228916
839290,242,0.2,1.25,0.12,S3,sp,Ox,0.426,0.35,0.395,0.031,S4,0.921518987
839298,282,0.53,0.94,0.29,S4,sp,Ox,0.863,0.33,0.784,0.079,S4,0.899234694
839300,161,0.36,0.67,0.07,S3,sp,Ox,0.156,0.64,0.124,0.032,S4,0.741935484
839301,149,0.26,0.74,0.07,S4,sr,Tr,0.353,0.32,0.312,0.041,S4,0.868589744
839302,157,0.12,0.78,0.08,S4,sr,Tr,0.228,0.42,0.182,0.046,S4,0.747252747
839309,264,0.53,0.99,0.1,S4,sr,Tr,0.323,0.67,0.26,0.063,S4,0.757692308
839310,206,0.46,0.88,0.09,S4,sr,Tr,2.311,0.54,2.15,0.161,S4,0.925116279
839311,77,0.1,0.65,0.06,S3,sr,Tr,0.268,0.63,0.254,0.014,S4,0.94488189
839312,192,0.3,0.85,0.08,S4,fr,Fr,0.229,0.52,0.179,0.05,S4,0.720670391
839313,258,0.63,1.01,0.1,S4,fr,Fr,0.299,0.78,0.243,0.056,S4,0.769547325
839314,248,0.51,0.98,0.1,S4,fr,Fr,0.922,0.59,0.811,0.111,S4,0.863131936
839315,252,0.43,1.02,0.1,S4,fr,Fr,1.09,0.67,0.997,0.093,S4,0.90672016
839316,292,0.46,1.23,0.12,S4,fr,Fr,1.341,0.55,1.198,0.143,S4,0.880634391
839317,266,0.42,1.17,0.12,S4,fr,Fr,5.21,0.96,4.842,0.368,S4,0.923998348
839319,214,0.41,0.98,0.19,S4,fr,Fr,1.196,0.59,1.043,0.153,S4,0.853307766
839327,327,0.48,2.21,0.36,S3,sp,Ox,0.344,0.38,0.305,0.039,S4,0.872131148
839331,201,0.4,0.87,0.09,S3,sp,Ox,0.147,0.24,0.116,0.031,S4,0.732758621
839336,189,0.31,0.78,0.08,S3,sp,Ox,0.204,0.19,0.168,0.036,S4,0.785714286
839337,236,0.31,0.82,0.08,S3,sp,Ox,0.141,0.1,0.11,0.031,S4,0.718181818
839338,185,0.34,0.87,0.09,S3,sp,Ox,0.209,0.72,0.173,0.036,S4,0.791907514
839339,85,0.21,0.51,0.05,S3,sp,Ox,0.2,0.04,0.164,0.036,S4,0.780487805
839340,120,0.26,0.67,0.13,S3,sp,Ox,0.533,0.11,0.502,0.031,S4,0.938247012
839341,85,0.07,0.47,0.05,S3,sp,Ox,0.258,0.1,0.243,0.015,S4,0.938271605
839342,205,0.41,0.74,0.07,S3,sp,Ox,2.937,0.35,2.805,0.132,S4,0.952941176
839343,176,0.28,0.69,0.07,S3,sp,Ox,4.268,0.08,4.064,0.204,S4,0.94980315
839344,271,0.48,1.23,0.12,S3,sp,Ox,2.2,0.23,2.092,0.108,S4,0.948374761
839345,65,0.12,0.75,0.07,S3,sp,Ox,0.166,0.02,0.133,0.033,S4,0.751879699
839347,113,0.13,0.8,0.08,S3,sp,Ox,3.662,0.05,3.481,0.181,S4,0.948003447
839348,252,0.5,0.96,0.09,S3,sp,Ox,4.563,0.29,4.265,0.298,S4,0.930128957
839349,96,0.24,0.68,0.07,S3,sp,Ox,0.312,0.07,0.291,0.021,S4,0.927835052
839350,112,0.11,0.71,0.07,S3,sp,Ox,0.368,0.01,0.345,0.023,S4,0.933333333
839352,203,0.15,0.96,0.09,S3,sp,Ox,0.614,0.18,0.557,0.057,S4,0.897666068
839353,200,0.14,0.91,0.09,S3,sr,Tr,0.238,0.08,0.191,0.047,S4,0.753926702
839355,99,0.09,0.59,0.06,S3,sr,Tr,0.14,0.16,0.103,0.037,S4,0.640776699
839356,127,0.12,0.78,0.08,S3,sr,Tr,0.188,0.13,0.146,0.042,S4,0.712328767
839360,268,0.43,0.97,0.1,S4,sr,Tr,0.452,0.36,0.403,0.049,S4,0.878411911
839362,267,0.62,1.16,0.11,S4,sr,Tr,0.435,0.24,0.373,0.062,S4,0.833780161
839363,320,0.7,0.98,0.27,S4,sr,Tr,0.367,0.3,0.322,0.045,S4,0.860248447
839364,293,0.57,1.02,0.21,S4,sr,Tr,0.207,0.26,0.166,0.041,S4,0.753012048
839367,286,0.46,1.01,0.1,S4,sr,Tr,0.44,0.3,0.392,0.048,S4,0.87755102
839373,264,0.47,1.04,0.1,S4,fr,Fr,0.159,0.36,0.107,0.052,S4,0.514018692
839374,253,0.39,1.01,0.27,S4,fr,Fr,0.159,0.39,0.107,0.052,S4,0.514018692
839378,204,0.33,1.01,0.1,S4,sp,Ox,0.167,0.29,0.134,0.033,S4,0.753731343
839381,234,0.56,0.86,0.19,S4,sp,Ox,0.223,0.51,0.195,0.028,S4,0.856410256
839386,284,0.26,1.63,0.16,S4,sp,Ox,0.139,0.33,0.108,0.031,S4,0.712962963
839387,184,0.36,0.91,0.09,S4,sp,Ox,0.601,0.57,0.565,0.036,S4,0.936283186
839388,363,0.49,1.41,0.42,S4,sp,Ox,0.234,0.23,0.196,0.038,S4,0.806122449
839393,287,0.23,1.44,0.29,S4,sp,Ox,0.164,0.56,0.131,0.033,S4,0.748091603
839394,396,0.99,1.9,0.19,S4,sp,Ox,0.198,0.28,0.163,0.035,S4,0.785276074
839404,120,0.13,0.84,0.08,S3,sp,Ox,0.168,0.02,0.135,0.033,S4,0.755555556
839407,227,0.36,0.9,0.09,S4,sp,Ox,0.14,0.22,0.118,0.022,S4,0.813559322
839408,241,0.41,0.91,0.09,S4,sp,Ox,0.563,0.11,0.473,0.09,S4,0.809725159
