Hole_ID,Fe_Zr,Ni_Zr,Co_Zr,Cu_Zr,L1_Niton,L2_Niton,Ox_Niton,Au_Total,MagSus,Au,Au_Tails,Solid_L1,Recovery
1286860,209,0.38,0.9,0.2,S4,fr,Fr,1.339,0.69,1.247,0.092,S4,0.926222935
1286861,198,0.34,0.87,0.24,S4,fr,Fr,0.925,0.14,0.897,0.028,S4,0.968784838
1286863,186,0.46,0.8,0.2,S4,fr,Fr,2.458,0.26,2.411,0.047,S4,0.980506014
1286864,171,0.52,0.66,0.16,S4,fr,Fr,0.451,0.28,0.43,0.021,S4,0.951162791
1286865,160,0.83,0.98,0.1,S4,fr,Fr,3.166,0.61,3.083,0.083,S4,0.973078171
1286866,166,0.51,0.68,0.15,S4,fr,Fr,1.93,0.57,1.833,0.097,S4,0.947081288
1286867,166,0.51,0.68,0.15,S4,fr,Fr,1.221,0.51,1.057,0.164,S4,0.844843898
1286870,134,0.27,0.77,0.23,S3,fr,Fr,0.209,0.36,0.149,0.06,S4,0.597315436
1287006,153,0.49,1.25,0.33,I2,fr,Fr,0.193,0.41,0.147,0.046,I2,0.68707483
1287029,162,0.44,1.24,0.12,I2,fr,Fr,0.235,0.63,0.184,0.051,I2,0.722826087
1287033,155,0.43,0.77,0.08,I2,fr,Fr,0.217,0.14,0.168,0.049,I2,0.708333333
1287047,169,0.2,1.23,0.26,I2,fr,Fr,0.222,0.24,0.201,0.021,I2,0.895522388
1140353,97,0.06,0.36,0.11,R,a,R,0.22,0.13,0.205,0.015,R,0.926829268
1140357,227,0.14,0.85,0.26,R,c,R,0.258,0.05,0.243,0.015,R,0.938271605
861292,82,0.09,0.56,0.06,S3,sp,Ox,0.223,0.32,0.186,0.037,S4,0.801075269
861293,104,0.09,0.53,0.05,S3,sp,Ox,0.332,0.42,0.286,0.046,S4,0.839160839
861294,105,0.08,0.48,0.18,S3,sp,Ox,0.356,0.31,0.308,0.048,S4,0.844155844
861295,229,0.36,0.8,0.08,S3,sp,Ox,1.593,0.59,1.452,0.141,S4,0.902892562
861296,177,0.35,0.75,0.07,R,c,R,0.122,0.49,0.105,0.017,R,0.838095238
861298,103,0.09,0.56,0.05,R,a,R,0.116,0.54,0.104,0.012,R,0.884615385
1263642,219,0.61,1.63,0.16,R,c,R,0.113,0,0.102,0.011,R,0.892156863
